index,titles,artists
0,路過人間 (電視劇《我們與惡的距離》插曲),Yisa Yu
1,別讓我走遠 (電視劇《我們與惡的距離》主題曲),Yoga Lin
2,誰,Yo Lee
3,直到我遇見了你 - Demo,Yo Lee
4,把音量轉小,Yo Lee
5,難過到這邊就好,Yo Lee
6,吃什麼,Yo Lee
7,走了嗎,張若凡
8,魚仔 - 電視劇<花甲男孩轉大人>主題曲,Crowd Lu
9,幾分之幾 - 電影<花甲大人轉男孩>主題曲,Crowd Lu
10,大人中,Crowd Lu
11,浪費,Yoga Lin
12,說謊,Yoga Lin
13,少女,Yoga Lin
14,天真有邪,Yoga Lin
15,成全 - Live,Yoga Lin
16,傻子,Yoga Lin
17,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin
18,真的傻 (電影《一吻定情》追愛版主題曲),LaLa Hsu
19,言不由衷,LaLa Hsu
20,一愛難求 (電視劇《扶搖》片尾曲),LaLa Hsu
21,绿色,Shirley Chen
22,你的酒馆对我打了烊,Shirley Chen
23,你的酒馆对我打了烊,Shirley Chen
24,讓我為你唱情歌,Jam Hsiao
25,流沙,David Tao
26,偽裝,Yo Lee
27,14 (Feat. 屁孩Ryan & 柯政宏),盧子杰 James Lu
28,兜圈,Yoga Lin
29,小時候的我們,Eric Chou
30,怎麼了,Eric Chou
31,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",Eric Chou
32,如果雨之後,Eric Chou
33,以後別做朋友,Eric Chou
34,My Life Is Going On - Música Original De La Serie De TV La Casa De Papel / Money Heist,Cecilia Krull
35,全世界的朋友都讓我失望,Julia Wu
36,七十億分之一,Julia Wu
37,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu
38,愛情怎麼了嗎,Crowd Lu
39,我愛你,Crowd Lu
40,100種生活,Crowd Lu
41,慢靈魂,Crowd Lu
42,雨 (電視劇《以家人之名》插曲),沈以誠
43,風的來信 (影視劇《下一站是幸福》片頭曲),Jin Wenqi
44,Like a Breeze (電視劇《以家人之名》插曲),譚松韻
45,我會守在這裡 (電視劇《以家人之名》片尾主題曲),Mao Buyi
46,街角的祝福,Waa Wei
47,不是因為天氣晴朗才愛你,理想混蛋
48,Life Box - THE ALL-NEW FORD 旅玩家 2021 年度主題曲,Crowd Lu
49,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu
50,幾分之幾 - 電影<花甲大人轉男孩>主題曲,Crowd Lu
51,魚仔 - 電視劇<花甲男孩轉大人>主題曲,Crowd Lu
52,不是我不明白,Fish Leong
53,愛情怎麼了嗎,Crowd Lu
54,我愛你,Crowd Lu
55,明年 (Let Go),Crowd Lu
56,大人中,Crowd Lu
57,100種生活,Crowd Lu
58,慢靈魂,Crowd Lu
59,明仔載 (正式版) - 電影<花甲大人轉男孩>推廣曲,Crowd Lu
60,一定要相信自己,Crowd Lu
61,不想去遠方,Crowd Lu
62,最寂寞的時候,Crowd Lu
63,繁華攏是夢 (Live 版),Crowd Lu
64,你是我的水 - 電影<花甲大人轉男孩>插曲,Crowd Lu
65,藍寶 - Lately Version,Crowd Lu
66,快魚仔 - (花甲男孩轉大人片頭曲),Crowd Lu
67,聽見了嗎,Crowd Lu
68,好想要揮霍,Crowd Lu
69,寂寞考,Crowd Lu
70,Fly Now ! 敢傻就飛 ! - 黑松沙士2019年度主題曲,Crowd Lu
71,"早安,晨之美!",Crowd Lu
72,手機仔(一),Crowd Lu
73,星座愛情故事之巨蟹座可不可以繼續說愛,Crowd Lu
74,聽見了嗎 - 大人中演唱會 LIVE,Crowd Lu
75,"早安,晨之美!",Crowd Lu
76,OH YEAH!!!,Crowd Lu
77,一坪半,Crowd Lu
78,藍寶,Crowd Lu
79,清晨巴士,Crowd Lu
80,敢傻 就是我的本事 - 黑松沙士2018年度主題曲,Crowd Lu
81,結婚鑽戒,Crowd Lu
82,夏天的歌,Crowd Lu
83,幾分之幾 - 大人中演唱會 LIVE,Crowd Lu
84,再見勾勾,Crowd Lu
85,大人中 - 大人中演唱會 LIVE,Crowd Lu
86,今天睡在這裡,Crowd Lu
87,只有夜來香,Crowd Lu
88,Happy Chakra,Crowd Lu
89,魚仔 - 大人中演唱會 LIVE,Crowd Lu
90,善良的眼鏡,Crowd Lu
91,我愛你 - 大人中演唱會 LIVE,Crowd Lu
92,寂寞考 - 大人中演唱會 LIVE,Crowd Lu
93,最寂寞的時候 - 大人中演唱會 LIVE,Crowd Lu
94,溫柔 #MaydayBlue20th - feat.孫燕姿,Mayday
95,路過人間 (電視劇《我們與惡的距離》插曲),Yisa Yu
96,慢冷,Fish Leong
97,諷刺的情書,Hebe Tien
98,像是一顆星星,Rainie Yang
99,好想愛這個世界啊,Hua Chen Yu
100,別再想見我,許光漢
101,在你不知道的时间里爱你很久 - 电影《我在时间尽头等你》片尾曲,LaLa Hsu
102,你的情歌 (電影《你的情歌》主題曲),TANK 呂建忠
103,"想啊,想著你",Fang Wu
104,"想見你想見你想見你(電視劇""想見你""片尾曲)",831
105,逆光,Kimberley Chen
106,嚣张,En
107,星辰大海,黄霄雲
108,交換餘生,JJ Lin
109,我敢,Tiger Hu
110,真的傻 (電影《一吻定情》追愛版主題曲),LaLa Hsu
111,愛情的模樣 Life Live,Mayday
112,都幾歲了 (電視劇【幸福一家人】片尾曲),Ella Chen
113,我很好騙,Power Station
114,如果我沒有傷口,Jolin Tsai
115,勇气,棉子
116,不晚 (電影深夜食堂主題曲),Hebe Tien
117,丟了你,井朧
118,候鳥,Ricky Hsiao
119,可惜了 (電影《大約在冬季》主題片尾曲),Chyi Chin
120,因為你 所以我,Mayday
121,意外 (電視劇《你是我的城池營壘》片尾曲),葉炫清
122,恰似你的溫柔,EggPlantEgg
123,善变,王靖雯不胖
124,想念是最遠的旅行 - 天堂的微笑片尾曲,Kelly Cheng
125,逃 (電視劇《想見你》插曲),Shi Shi
126,"起風了 - 電視劇""加油你是最棒的""主題曲",吳青峰
127,何妨 - feat.茄子蛋,Jia Jia
128,暫時的記號,JJ Lin
129,台北某個地方,Cheer Chen
130,你存在,Rachel Liang
131,The Wind (ヤキモチ),La Jiao
132,老友記,Ronghao Li
133,敢傻敢衝 - 2020黑松沙士年度主題曲,EggPlantEgg
134,大風吹,Pets Tseng
135,將故事寫成我們,JJ Lin
136,情人咒 - 電視劇《琉璃美人煞》片尾曲,阿雲嘎
137,天使,Della
138,我還沒有作好被打倒的準備,理想混蛋
139,轉身以後,小男孩樂團
140,不敢聽的歌,李千那
141,迷路在雲端,Ricky Hsiao
142,最勇敢的事 (電影《陪你很久很久》宣傳曲),龔言脩
143,還原,Sharon Kwan
144,Holy (feat. Chance The Rapper),Justin Bieber
145,willow,Taylor Swift
146,This City,Sam Fischer
147,It's Ok If You Forget Me,Astrid S
148,"Hey Stupid, I Love You",JP Saxe
149,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes
150,Fake,Lauv
151,drivers license,Olivia Rodrigo
152,What Other People Say,Sam Fischer
153,Stuck with U (with Justin Bieber),Ariana Grande
154,At My Worst,Pink Sweat$
155,If the World Was Ending - feat. Julia Michaels,JP Saxe
156,Remember That Night?,Sara Kays
157,this is how you fall in love,Jeremy Zucker
158,Unlearn (with Gracie Abrams),benny blanco
159,you broke me first,Tate McRae
160,if we never met,John K
161,Put Your Records On,Ritt Momney
162,Her,Anne-Marie
163,Lonely (with benny blanco),Justin Bieber
164,Love Like That,Lauv
165,Be Kind (with Halsey),Marshmello
166,Slow Dance,AJ Mitchell
167,Falling,Harry Styles
168,Lie,Sasha Sloan
169,slower,Tate McRae
170,Tattoos Together,Lauv
171,Perfectly Imperfect,Declan J Donovan
172,What A Time (feat. Niall Horan),Julia Michaels
173,Past Life (with Selena Gomez),Trevor Daniel
174,Nobody's Love,Maroon 5
175,Slow Grenade,Ellie Goulding
176,Afterglow,Ed Sheeran
177,If You Love Her,Forest Blakk
178,A Little Bit Yours,JP Saxe
179,Like No One Does,Jake Scott
180,I Should Probably Go To Bed,Dan + Shay
181,Before You Go,Lewis Capaldi
182,r u ok,Tate McRae
183,Better,ZAYN
184,17,Pink Sweat$
185,cowboy in LA,LANY
186,Line By Line (feat. Maren Morris),JP Saxe
187,To Die For,Sam Smith
188,Are you happy?,SHY Martin
189,Good Stuff,Griff
190,WITHOUT YOU (with Miley Cyrus),The Kid LAROI
191,i don't want to watch the world end with someone else,Clinton Kane
192,Lost,Blake Rose
193,Paper Planes,Elina
194,No Right To Love You,Rhys Lewis
195,Losing Me,Gabrielle Aplin
196,"always, i'll care",Jeremy Zucker
197,lie to me,Tate McRae
198,if i were u (with Lauv),blackbear
199,Oh My God,Alec Benjamin
200,Forever Young,Boy In Space
201,CHICKEN TENDIES,Clinton Kane
202,Gone,Blake Rose
203,Hard On Yourself,Charlie Puth
204,House With No Mirrors,Sasha Sloan
205,exile (feat. Bon Iver),Taylor Swift
206,Slow,SHY Martin
207,Angels Like You,Miley Cyrus
208,IDK You Yet,Alexander 23
209,colorblind,Mokita
210,What Am I,Why Don't We
211,My Oasis (feat. Burna Boy),Sam Smith
212,Wild Life,OneRepublic
213,6 months,John K
214,Hope Is A Heartache,LÉON
215,the author,Luz
216,nobody else,LANY
217,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
218,positions,Ariana Grande
219,Feels (feat. Khalid),WATTS
220,Put A Little Love On Me,Niall Horan
221,Little Did I Know,Julia Michaels
222,Walked Through Hell,Anson Seabra
223,Feelings,Lauv
224,Share That Love (feat. G-Eazy),Lukas Graham
225,Intentions,Justin Bieber
226,Good Without,Mimi Webb
227,Cheating on You,Charlie Puth
228,Nothing's the Same,Alexander 23
229,Grey,Why Don't We
230,Vibez,ZAYN
231,Friend,Gracie Abrams
232,"10,000 Hours (with Justin Bieber)",Dan + Shay
233,Better Days,OneRepublic
234,Young & Alive,Bazzi
235,17,Julia Michaels
236,Slow Motion,Charlotte Lawrence
237,Dear August,PJ Harding
238,Too Close,JP Cooper
239,What They'll Say About Us,FINNEAS
240,Ocean (feat. Meghan Trainor),LunchMoney Lewis
241,Stay,Gracie Abrams
242,Lovely,Fly By Midnight
243,Favorite Part Of Me,Astrid S
244,To Have & To Hold,Heather Rigdon
245,Back to the Start,Interestring Quartet
246,Tonight (Female Version),Pei-Yu Hung
247,Love,Alexis Cole
248,The Promise,Jamie Lancaster
249,Full Moon,OVN
250,If I Should Lose You,More than a pair
251,Questi Vent'Anni Miei,Lisa Ono
252,A Voice,Kat Edmonson
253,Ev'ry Time We Say Goodbye,Kathleen Saadat
254,We're all alone,Simone Kopmajer
255,All the Way,Katharine McPhee
256,Allways on my mind,Inger Marie Gundersen
257,Beyond the Sea,Halie Loren
258,When I Fall in Love (feat. Chris Botti),Renee Olstead
259,Smoke Gets in Your Eyes / All the Things You Are,Roberta Gambarini
260,Thinking of You,Christie Dashiell
261,These Foolish Things,Sarah Shea
262,Love On Top,Hailey Tuck
263,Les yeux ouverts (dream a little dream of me),Emilie-Claire Barlow
264,It Must Be Love,melissa elliotte
265,Quality Time,Susannah McCorkle
266,What Is Love?,Quiana Lynell
267,Fragile,Carol Saboya
268,That’s My Desire,Beegie Adair
269,Smile,Ellen Andersson
270,My Foolish Heart,Anthony Strong
271,But I Don't Mind,Kyl Aries
272,That’s All,Curtis Stigers
273,What Now My Love,Carin Lundin
274,Night And Day,Diana Krall
275,Memories of You,Carol Welsman
276,I'm In The Mood For Love,Julie London
277,Two for the Road,Tony DeSare
278,And Then There Was You,Norah Jones
279,WhenI'm64,"Grażyna Auguścik, Paulinho Garcia"
280,Don't Take Your Love from Me,Catherine Russell
281,I Walk A Little Faster,Nicki Parrott
282,This Guy's In Love With You,Steve Tyrell
283,Don't Let Me Be Lonely Tonight,Nils Landgren
284,These Things You Are To Me,Jamison Ross
285,Autumn Leaves,Seal
286,Tribute to Miss A,Carin Lundin
287,God Only Knows,Nathalie Seymour
288,Dear Someone,Sara Gazarek
289,"You're Mine, You",Chet Baker
290,All the Way,Susie Arioli
291,If I See You Tomorrow,Vira Talisa
292,Sand In My Shoes,Carol Welsman
293,But Beautiful,Gregory Porter
294,I WANNA BE YOUR SLAVE,Måneskin
295,Hey Gringo,KALEO
296,Dark Side,Blind Channel
297,My Own Monster,X Ambassadors
298,Beggin',Måneskin
299,Epiphany,Mammoth WVH
300,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW
301,Broken Heart of Gold,ONE OK ROCK
302,"Tell Me What You Want (From ""Wave Break"")",Weezer
303,ZITTI E BUONI,Måneskin
304,Method,Sleater-Kinney
305,smoke break//,KennyHoopla
306,Dating My Dad (feat. Travis Barker),K.Flay
307,It Won't Always Be Like This,Inhaler
308,The Creeps,Garbage
309,No More Friends (with Oli Sykes of Bring Me The Horizon),Olivia O'Brien
310,Core (That's Who We Are),VIZE
311,One Last Time,LP
312,Vacation (feat. Train),Dirty Heads
313,Watch Me Bleed,Fearless Motivation
314,Wait A Minute My Girl,Volbeat
315,Megalomania - XX Anniversary RemiXX,Muse
316,Supertzar (2021 Remaster),Black Sabbath
317,PERSONAL SHOPPER - Biffy Clyro Remix,Steven Wilson
318,you broke me first,Our Last Night
319,CORALINE,Måneskin
320,Trouble,Adam Jensen
321,Poor Boy a Long Way From Home,The Black Keys
322,Limbo,Royal Blood
323,THINK ABOUT ME,jxdn
324,How Can I Make It OK?,Wolf Alice
325,good 4 u,Olivia Rodrigo
326,White Picket Fence,psykhi
327,We're On Our Way Now,Noel Gallagher's High Flying Birds
328,Renegades,ONE OK ROCK
329,Saturday,Twenty One Pilots
330,Skinny,KALEO
331,Four Letter Words,K.Flay
332,Oblivion,Royal Blood
333,Lips,The Maine
334,Don’t Back Down,Mammoth WVH
335,"Catching Fire (feat. nothing,nowhere.)",Sum 41
336,Going Down South,The Black Keys
337,Built By Nations,Greta Van Fleet
338,Talking To Ourselves,Rise Against
339,Unbreakable,Escape the Fate
340,Death by Rock and Roll - Acoustic,The Pretty Reckless
341,Nowhere Generation,Rise Against
342,Heavy Is The Crown,Daughtry
343,Meteor,Architects
344,Citizen Erased (XX Anniversary RemiXX),Muse
345,girls (feat. phem),Royal & the Serpent
346,Nothing Lasts Forever,Kyoto Protocol
347,love race (feat. Kellin Quinn),Machine Gun Kelly
348,Broken Bells,Greta Van Fleet
349,There For Me,Chad Tepper
350,American Eyes,Bush
351,Fields of Bone,Black Veil Brides
352,Amnesia,MOD SUN
353,Choker,Twenty One Pilots
354,hollywood sucks//,KennyHoopla
355,Playing With Fire,Crowded House
356,Leave A Light On,Modest Mouse
357,Looking Tragic,AFI
358,Dulcería,AFI
359,Super Generation,Alectrona
360,It's Okay to Cry,The Penninsula
361,Tied To A Tree,AFI
362,Mettle,Adarrak
363,Calls to Tiree,Hamish Hawk
364,Roots And Wings,The Wallflowers
